dataset_id,name,n,p,K,filename
6,letter,20000,16,26,6_letter.csv
11,balance-scale,625,4,3,11_balance-scale.csv
12,mfeat-factors,2000,216,10,12_mfeat-factors.csv
14,mfeat-fourier,2000,76,10,14_mfeat-fourier.csv
15,breast-w,683,9,2,15_breast-w.csv
16,mfeat-karhunen,2000,64,10,16_mfeat-karhunen.csv
18,mfeat-morphological,2000,6,10,18_mfeat-morphological.csv
22,mfeat-zernike,2000,47,10,22_mfeat-zernike.csv
23,cmc,1473,2,3,23_cmc.csv
28,optdigits,5620,64,10,28_optdigits.csv
29,credit-approval,666,6,2,29_credit-approval.csv
31,credit-g,1000,7,2,31_credit-g.csv
32,pendigits,10992,16,10,32_pendigits.csv
37,diabetes,768,8,2,37_diabetes.csv
44,spambase,4601,57,2,44_spambase.csv
54,vehicle,846,18,4,54_vehicle.csv
151,electricity,45312,7,2,151_electricity.csv
182,satimage,6430,36,6,182_satimage.csv
188,eucalyptus,641,14,5,188_eucalyptus.csv
300,isolet,7797,617,26,300_isolet.csv
307,vowel,990,10,11,307_vowel.csv
458,analcatdata_authorship,841,70,4,458_analcatdata_authorship.csv
554,mnist_784,70000,784,10,554_mnist_784.csv
1049,pc4,1458,37,2,1049_pc4.csv
1050,pc3,1563,37,2,1050_pc3.csv
1053,jm1,10880,21,2,1053_jm1.csv
1063,kc2,522,21,2,1063_kc2.csv
1067,kc1,2109,21,2,1067_kc1.csv
1068,pc1,1109,21,2,1068_pc1.csv
1461,bank-marketing,45211,7,2,1461_bank-marketing.csv
1462,banknote-authentication,1372,4,2,1462_banknote-authentication.csv
1464,blood-transfusion-service-center,748,4,2,1464_blood-transfusion-service-center.csv
1468,cnae-9,1080,856,9,1468_cnae-9.csv
1475,first-order-theorem-proving,6118,51,6,1475_first-order-theorem-proving.csv
1478,har,10299,561,6,1478_har.csv
1480,ilpd,583,9,2,1480_ilpd.csv
1485,madelon,2600,500,2,1485_madelon.csv
1486,nomao,34465,89,2,1486_nomao.csv
1487,ozone-level-8hr,2534,72,2,1487_ozone-level-8hr.csv
1489,phoneme,5404,5,2,1489_phoneme.csv
1494,qsar-biodeg,1055,41,2,1494_qsar-biodeg.csv
1497,wall-robot-navigation,5456,24,4,1497_wall-robot-navigation.csv
1501,semeion,1593,256,10,1501_semeion.csv
1510,wdbc,569,30,2,1510_wdbc.csv
1590,adult,48842,6,2,1590_adult.csv
4134,Bioresponse,3751,1776,2,4134_Bioresponse.csv
4538,GesturePhaseSegmentationProcessed,9873,32,5,4538_GesturePhaseSegmentationProcessed.csv
6332,cylinder-bands,378,18,2,6332_cylinder-bands.csv
23517,numerai28.6,96320,21,2,23517_numerai28_6.csv
40499,texture,5500,40,11,40499_texture.csv
40701,churn,5000,16,2,40701_churn.csv
40923,Devnagari-Script,92000,1024,46,40923_Devnagari-Script.csv
40927,CIFAR_10,60000,3072,10,40927_CIFAR_10.csv
40966,MiceProtein,552,77,8,40966_MiceProtein.csv
40978,Internet-Advertisements,3279,3,2,40978_Internet-Advertisements.csv
40979,mfeat-pixel,2000,240,10,40979_mfeat-pixel.csv
40982,steel-plates-fault,1941,27,7,40982_steel-plates-fault.csv
40983,wilt,4839,5,2,40983_wilt.csv
40984,segment,2310,16,7,40984_segment.csv
40994,climate-model-simulation-crashes,540,18,2,40994_climate-model-simulation-crashes.csv
40996,Fashion-MNIST,70000,784,10,40996_Fashion-MNIST.csv
41027,jungle_chess_2pcs_raw_endgame_complete,44819,6,3,41027_jungle_chess_2pcs_raw_endgame_complete.csv
