dataset_id,name,MF1_mean,MF2_var,MF3_std,MF4_skew,MF5_kurt,MF6_h0,MF7_h1,MF8_h2,MF9_h3,MF10_h4,MF11_h5,MF12_h6,MF13_h7,MF14_h8,MF15_h9,MF16_z0,MF17_z1,MF18_z2,MF19_z3
6,letter,0.37594405232387273,0.030515060205086538,0.17468560388620047,0.23763766339298353,-1.03187999869944,0.01456,0.18501,0.22159,0.11761,0.17009,0.17928,0.08644,0.02208,0.00307,0.00027,0.6048,0.37909,0.01584,0.00027
11,balance-scale,0.3908285791586816,0.048296937650003445,0.21976564256044084,0.1446295690946671,-1.205538525185928,0.07181,0.18612,0.15987,0.1108,0.08116,0.16406,0.1447,0.06596,0.01431,0.00121,0.57735,0.41493,0.00772,0.0
12,mfeat-factors,0.30930700261416444,0.08651208123796696,0.2941293614006717,0.23736327089336132,-1.6824077049799986,0.49776,0.00353,0.00961,0.02561,0.07045,0.14822,0.15279,0.0755,0.01542,0.00111,0.71784,0.28094,0.00122,0.0
14,mfeat-fourier,0.2893373919749776,0.06049467831084417,0.24595665941552422,0.15079665314591875,-1.7779791546323733,0.49528,0.00483,0.00326,0.02416,0.14756,0.23668,0.07975,0.00794,0.00046,8e-05,0.60606,0.39314,0.0008,0.0
15,breast-w,0.3368398072667769,0.04785251547770033,0.21875217822389867,0.992961552964557,-0.2364304621881863,0.03196,0.30871,0.28148,0.08397,0.04384,0.0703,0.07926,0.06557,0.02538,0.00953,0.72178,0.23123,0.04694,5e-05
16,mfeat-karhunen,0.402919774959348,0.10165251951552844,0.3188299225535904,0.07269171605509026,-1.8853442778653964,0.35274,0.146,0.00126,0.00051,0.00469,0.02778,0.15962,0.24545,0.05981,0.00214,0.53212,0.46788,0.0,0.0
18,mfeat-morphological,0.3855297422738043,0.0296630122384469,0.17222953358366533,0.7718763177307222,0.03488817196328009,0.00185,0.10519,0.29263,0.20207,0.18223,0.08769,0.05719,0.04938,0.01965,0.00212,0.69542,0.2533,0.04929,0.00199
22,mfeat-zernike,0.30220265162131976,0.04895153955086951,0.22124994813755214,0.4006683627852518,-1.271731862831416,0.27908,0.21938,0.01626,0.07739,0.16486,0.13939,0.07127,0.02559,0.00623,0.00055,0.64654,0.33683,0.01657,6e-05
23,cmc,0.1303422749742991,0.029099069555478918,0.17058449388933017,1.207495792790255,0.5790632525458634,0.57285,0.13257,0.11579,0.07979,0.05449,0.03024,0.01167,0.00215,0.00036,9e-05,0.82121,0.12155,0.04982,0.00742
28,optdigits,0.36916181806408255,0.09110815667794299,0.3018412772931214,0.16231948359969434,-1.7758663389076947,0.41688,0.08319,0.00209,0.00975,0.02581,0.08759,0.18648,0.14875,0.03719,0.00227,0.57085,0.42906,9e-05,0.0
29,credit-approval,0.3436643604008947,0.013549734207999724,0.11640332558823105,0.4296932044070443,1.2664882101230734,0.01339,0.10874,0.20958,0.37946,0.21333,0.0518,0.01647,0.00494,0.00151,0.00078,0.70574,0.24959,0.03675,0.00792
31,credit-g,0.3915918372581447,0.0410425118694524,0.202589515694797,0.3404568925920058,-1.0334709072377504,0.02833,0.18418,0.19265,0.15321,0.12089,0.11241,0.13275,0.06093,0.01377,0.00088,0.59222,0.39199,0.01578,1e-05
32,pendigits,0.38509566193780365,0.07297211555729533,0.2701335143170786,0.28356453515039476,-1.5235920107781509,0.13626,0.29554,0.07304,0.0336,0.04591,0.09555,0.14997,0.11776,0.04741,0.00496,0.56436,0.4338,0.00184,0.0
37,diabetes,0.3957451519119491,0.017958669513406116,0.1340099605007259,0.24356217037127598,-0.04669972380663756,0.00625,0.06529,0.16758,0.29288,0.25118,0.14325,0.05834,0.01287,0.00213,0.00023,0.67844,0.28021,0.03888,0.00247
44,spambase,0.18857032956478784,0.012565149902624808,0.11209437944261437,1.5822407483148204,4.531340267138472,0.22613,0.39428,0.23996,0.08711,0.03841,0.00843,0.00211,0.00106,0.00151,0.001,0.75178,0.20046,0.03849,0.00927
54,vehicle,0.3088136703511705,0.031756233811863564,0.17820278845142565,0.7373023114865402,-0.32323382037266946,0.05408,0.32271,0.181,0.14466,0.12734,0.09182,0.05114,0.0219,0.00464,0.00071,0.6699,0.28969,0.03809,0.00232
