dataset_id,name,MF1_mean,MF2_var,MF3_std,MF4_skew,MF5_kurt,MF6_h0,MF7_h1,MF8_h2,MF9_h3,MF10_h4,MF11_h5,MF12_h6,MF13_h7,MF14_h8,MF15_h9,MF16_z0,MF17_z1,MF18_z2,MF19_z3
6,letter,0.4698780020209712,0.017533647572817484,0.1324146803523593,0.08201010969094595,-0.32763280954337715,0.00098,0.01376,0.08497,0.21941,0.2692,0.23833,0.13141,0.03671,0.00487,0.00036,0.6638,0.29765,0.03733,0.00122
11,balance-scale,0.49189425564379446,0.045651930520994186,0.21366312391471343,-0.5008514704995896,-0.7022035400214115,0.06265,0.05157,0.09706,0.11377,0.09527,0.22015,0.19646,0.13141,0.03028,0.00138,0.62565,0.34786,0.02649,0.0
12,mfeat-factors,0.348666227408125,0.07739010219033308,0.27819076582505947,0.22357702029507043,-1.672030237889912,0.3674,0.13274,0.00529,0.01937,0.0535,0.13483,0.17185,0.09357,0.02009,0.00136,0.5944,0.40445,0.00115,0.0
14,mfeat-fourier,0.32100133098439015,0.05451318595034251,0.23348059009335767,0.14322878003359224,-1.761386046128678,0.31566,0.18297,0.00288,0.01501,0.1118,0.25211,0.10768,0.01127,0.00053,9e-05,0.5617,0.43748,0.00082,0.0
15,breast-w,0.4325251358545947,0.035227676718070644,0.18769037460155127,0.7990435392432432,-0.2315110551450168,0.00317,0.05358,0.17765,0.33559,0.13625,0.07549,0.08958,0.08126,0.03606,0.01137,0.68553,0.27146,0.04297,4e-05
16,mfeat-karhunen,0.4392114989761422,0.08832012682217402,0.297187023307166,0.05502752767440322,-1.8567282284603737,0.05667,0.39021,0.05126,0.00208,0.00301,0.01935,0.1314,0.26744,0.07602,0.00256,0.51943,0.48057,0.0,0.0
18,mfeat-morphological,0.5205188379603198,0.02791562464137543,0.16707969547906001,-0.2528409941947929,-0.3627790656500429,0.00438,0.02865,0.08594,0.11266,0.18508,0.25988,0.19063,0.09323,0.03527,0.00428,0.66061,0.30406,0.03523,0.0001
22,mfeat-zernike,0.37034615394526493,0.0394729456054955,0.19867799476916287,0.3586707598515979,-1.206199844994801,0.01365,0.27615,0.20884,0.03433,0.13577,0.18104,0.10301,0.038,0.00853,0.00068,0.62819,0.35507,0.01666,8e-05
23,cmc,0.6744185662965905,0.04399557428288659,0.20975121997949522,-1.406686363300165,2.278648673528509,0.04587,0.0,0.0,0.0,0.11614,0.20815,0.12218,0.04763,0.45969,0.00034,0.90657,0.04756,0.0,0.04587
28,optdigits,0.38583319700004604,0.08083844458227409,0.2843210238133545,0.17922912386573192,-1.7427977714363465,0.16372,0.33567,0.00301,0.00996,0.02654,0.08949,0.18675,0.14628,0.03632,0.00226,0.58077,0.41897,0.00026,0.0
29,credit-approval,0.4821565559568818,0.01075617534257603,0.10371198263737913,0.3450947649562512,0.3314113675857264,0.00016,0.00373,0.01714,0.20916,0.37147,0.25988,0.11006,0.02556,0.00197,0.00087,0.67142,0.28313,0.04025,0.0052
31,credit-g,0.5325377662547073,0.02462308965048732,0.1569174612670219,-0.20235574109768825,-0.2935920466540751,0.0029,0.01787,0.05357,0.11878,0.22902,0.23653,0.18486,0.12144,0.03328,0.00175,0.65713,0.30463,0.03719,0.00105
32,pendigits,0.47644333191270244,0.051570119502984006,0.2270905535309296,0.20221552104156149,-1.3905701708204639,0.0039,0.07988,0.23428,0.16501,0.06647,0.067,0.14851,0.15624,0.07034,0.00837,0.57942,0.41826,0.00232,0.0
37,diabetes,0.49633514795931455,0.01072074317526178,0.10354102170281004,-0.06355190307861516,0.4953513595393142,0.00043,0.00396,0.02295,0.14584,0.33669,0.33614,0.13184,0.01884,0.00303,0.00028,0.70159,0.25077,0.04107,0.00657
44,spambase,0.29776343470558486,0.0081729308693145,0.09040426355717135,1.584192404488909,6.074863287223685,0.00263,0.08914,0.49187,0.31482,0.06358,0.03056,0.00335,0.00117,0.00156,0.00132,0.76869,0.18017,0.0412,0.00994
