dataset_id,name,MF1_mean,MF2_var,MF3_std,MF4_skew,MF5_kurt,MF6_h0,MF7_h1,MF8_h2,MF9_h3,MF10_h4,MF11_h5,MF12_h6,MF13_h7,MF14_h8,MF15_h9,MF16_z0,MF17_z1,MF18_z2,MF19_z3
6,letter,0.5083795077525882,0.014916287698003006,0.12213225494521505,-0.21527744255478556,0.19530802577489048,0.00097,0.00889,0.04263,0.13067,0.26401,0.33679,0.16371,0.04592,0.00601,0.0004,0.69312,0.25731,0.0459,0.00367
11,balance-scale,0.49185734973599116,0.048660840235915555,0.22059202214929613,-0.5885354422754566,-0.6630801646952866,0.08072,0.05919,0.07272,0.08345,0.09907,0.21341,0.22837,0.13141,0.03028,0.00138,0.64319,0.32446,0.03235,0.0
12,mfeat-factors,0.3684382292986459,0.07231026314293483,0.26890567703738577,0.21158104244208692,-1.6513959427689162,0.18836,0.30271,0.01264,0.01689,0.04681,0.12751,0.17911,0.10181,0.02272,0.00144,0.57714,0.42167,0.00119,0.0
14,mfeat-fourier,0.3447147329508131,0.05048442760248259,0.22468739974124627,0.127489961108845,-1.7400830546364086,0.10208,0.38171,0.01691,0.01005,0.08473,0.25609,0.1327,0.01497,0.00067,9e-05,0.54851,0.45066,0.00083,0.0
15,breast-w,0.4346725734496885,0.03540368146467055,0.18815866034990406,0.7368950123034302,-0.2402104627867665,0.00506,0.05742,0.16198,0.32874,0.1506,0.07793,0.08958,0.08126,0.03606,0.01137,0.68288,0.27538,0.04172,2e-05
16,mfeat-karhunen,0.47158502405987535,0.07825598414466126,0.27974271061934974,0.023742972963564347,-1.8167480083284948,0.01492,0.25334,0.20524,0.02494,0.00328,0.01345,0.10238,0.2829,0.09645,0.0031,0.52279,0.47721,0.0,0.0
18,mfeat-morphological,0.5220641759418394,0.03345879340365432,0.18291744969699944,-0.49408331614123857,-0.38307693625745376,0.01523,0.05284,0.08491,0.09439,0.14044,0.23058,0.23878,0.10328,0.03527,0.00428,0.69632,0.26849,0.03519,0.0
22,mfeat-zernike,0.4068658442976467,0.034124124199854756,0.18472716151084756,0.29973562900062767,-1.085206573653067,0.00654,0.11344,0.29218,0.10534,0.10827,0.19396,0.12281,0.04661,0.01001,0.00084,0.62763,0.3551,0.01716,0.00011
23,cmc,0.6744185662965905,0.04399557428288659,0.20975121997949522,-1.406686363300165,2.278648673528509,0.04587,0.0,0.0,0.0,0.11614,0.20815,0.12218,0.04763,0.45969,0.00034,0.90657,0.04756,0.0,0.04587
28,optdigits,0.39959880318468294,0.07462461556181418,0.27317506394584073,0.18500590768473132,-1.7196358767626418,0.06137,0.4216,0.01919,0.00967,0.02565,0.08745,0.18639,0.14914,0.03726,0.00228,0.57926,0.42035,0.00039,0.0
29,credit-approval,0.5290421593990603,0.011877403096702257,0.10898349919461321,0.11617759206054412,-0.22552697061571614,0.00023,0.00183,0.01083,0.08414,0.34348,0.28287,0.2059,0.0676,0.00212,0.001,0.63827,0.33996,0.01765,0.00412
31,credit-g,0.5390683443365583,0.025249419161670922,0.1589006581536745,-0.4071232013920751,-0.02533894805461312,0.0064,0.02307,0.05259,0.10271,0.19558,0.25062,0.21256,0.12144,0.03328,0.00175,0.67814,0.27768,0.04098,0.0032
32,pendigits,0.4966685952840726,0.04823648093940759,0.21962805134911068,0.09350720584238964,-1.265478448011296,0.00748,0.06555,0.16021,0.18876,0.11777,0.06642,0.14404,0.16391,0.0764,0.00946,0.59027,0.40695,0.00278,0.0
37,diabetes,0.5429380054121568,0.010383550105770318,0.1018997061122863,-0.4225235394418526,0.5684986499724443,0.00048,0.00305,0.0122,0.06659,0.24129,0.36694,0.27349,0.03205,0.00358,0.00033,0.68226,0.27753,0.03272,0.00749
44,spambase,0.32472013607027367,0.007571493221609775,0.0870143276800423,1.5155760561529383,6.0154681572799475,0.00133,0.03433,0.38291,0.44119,0.09524,0.03678,0.00404,0.00122,0.0016,0.00136,0.7708,0.17723,0.0421,0.00987
54,vehicle,0.4233387075417483,0.019954422363252223,0.1412601230469952,0.5079620456550441,0.1873067759199798,0.0026,0.03661,0.14384,0.28914,0.2732,0.13054,0.08084,0.03465,0.00755,0.00103,0.68993,0.2611,0.04566,0.00331
151,electricity,0.5853376176540804,0.015515353381240276,0.12456064138097667,-0.15695774075122015,-0.3347587857259362,0.00014,0.00194,0.0087,0.07536,0.17024,0.28584,0.24746,0.18291,0.02547,0.00194,0.66402,0.30322,0.03061,0.00215
182,satimage,0.3819515641200811,0.03426911792514475,0.18511919923429,0.45176371936558823,-0.05480279879589611,0.0592,0.09389,0.18341,0.28302,0.14321,0.09985,0.07033,0.04389,0.0201,0.0031,0.68718,0.27147,0.04043,0.00092
188,eucalyptus,0.4389760126103113,0.029127354455393897,0.1706673795878811,0.15118708286173063,-0.8980266458898996,0.00617,0.06657,0.16585,0.21849,0.17596,0.14627,0.15003,0.06421,0.00635,0.0001,0.62208,0.36016,0.01774,2e-05
300,isolet,0.3467112117212375,0.09189943125943226,0.3031491897720201,0.180961420822495,-1.74304331418935,0.5,0.0,8e-05,0.00632,0.04518,0.12724,0.17296,0.11304,0.03242,0.00276,0.64895,0.35072,0.00033,0.0
307,vowel,0.4945389251251353,0.032238851202440355,0.17955180645830426,-0.3902412896956923,-0.8290724155983078,0.00983,0.05614,0.11846,0.13662,0.12099,0.20622,0.247,0.09268,0.01149,0.00057,0.63524,0.33972,0.02504,0.0
458,analcatdata_authorship,0.41551422855902326,0.06155740530558383,0.24810764862370493,0.12658044817624006,-1.6710242736240963,0.02662,0.30738,0.16344,0.00279,0.02116,0.12025,0.20704,0.12703,0.02293,0.00136,0.55213,0.44694,0.00093,0.0
554,mnist_784,0.35917093046173815,0.11201424319462995,0.33468528977926404,0.11308672573233298,-1.8501931759134536,0.5,0.0001,0.00083,0.00215,0.01183,0.06814,0.18893,0.17156,0.05303,0.00343,0.63563,0.36437,0.0,0.0
1049,pc4,0.304927936793396,0.010278679240081499,0.10138382139218022,0.959240287076699,2.2170589369533804,0.00337,0.11996,0.42519,0.27717,0.13519,0.0315,0.00479,0.00082,0.00136,0.00065,0.70176,0.26034,0.03093,0.00697
1050,pc3,0.2900666124180194,0.0053611970720427995,0.07322019579352954,0.9652414279548195,4.072827528522042,0.00052,0.07926,0.52339,0.31558,0.07627,0.00366,0.0005,0.00026,0.0,0.00056,0.67727,0.29239,0.02597,0.00437
1053,jm1,0.3442547846499906,0.013764560720509593,0.1173224646881815,0.14663306153648495,-0.375714213439446,0.02265,0.04004,0.39945,0.20093,0.20651,0.12919,0.00058,0.0003,0.0,0.00035,0.70137,0.27042,0.02754,0.00067
1063,kc2,0.23356045932018135,0.004839304777317852,0.06956511178254407,2.9820347796166544,25.915999183614257,0.00214,0.34526,0.51562,0.12629,0.00363,0.00464,0.00048,1e-05,6e-05,0.00187,0.75629,0.2296,0.00538,0.00873
1067,kc1,0.22616055066082721,0.006155889720652484,0.078459478207878,1.214761445219851,5.411466037155254,0.00682,0.41411,0.40665,0.15095,0.01357,0.00574,0.00143,0.0001,0.00029,0.00034,0.69947,0.27044,0.01819,0.0119
