mf_set,learner,SRC_mean,SRC_std,WRC_mean,WRC_std,NDCG@3_mean,NDCG@3_std,Top1Hit_mean,Top1Hit_std,Regret@1_mean,Regret@1_std,ARI_mean,ARI_std,AMI_mean,AMI_std
MeanRank,Baseline,0.6357638888051533,0.30338672512823833,0.5790666375199334,0.30444948630413765,0.8999111970107939,0.09908526006222487,0.5330645161290323,0.49910683327718397,0.23366935483870968,0.28054060350379356,0.10618848682859519,0.17065627102721848,0.18008550583974584,0.24053891220868148
MajorityRank,Baseline,0.6399937514427492,0.3016396321381764,0.5884179115675404,0.3056750389479971,0.9035932057965076,0.09867749042630308,0.5806451612903226,0.49365259492906544,0.21169354838709678,0.2756135477850629,0.09991444940860064,0.16243856657528177,0.17457989936562973,0.23827978546055525
Distance,kNN,0.6581622631557801,0.2670004807781005,0.605391955908757,0.2876720212521763,0.905405494194977,0.08415718905737492,0.6475806451612903,0.4779164676687698,0.15090725806451613,0.2205670005302323,0.1545705657339131,0.22444836313481775,0.21401699036530408,0.2722799760535864
Distance,RF,0.6359098211660602,0.29487391742969915,0.5823327362423765,0.2945993101103082,0.8979529399596287,0.09743904101386704,0.6120967741935484,0.4874689190539861,0.16381048387096775,0.2279264364278251,0.1500137671214163,0.22288353231581412,0.210462124896226,0.2701232961288275
CaD-Sp,kNN,0.6113581232157901,0.30129166119397266,0.5487328995325682,0.3042192009181038,0.8924532180503029,0.098289571074581,0.5733870967741935,0.4947845620753317,0.1970766129032258,0.251376401067281,0.16436877027294,0.23266517075221158,0.22688645724838846,0.27531935465760493
CaD-Sp,RF,0.6462415959381612,0.2773574557057293,0.583255871272326,0.2825762101296189,0.904317051277844,0.08961890435348271,0.5935483870967742,0.4913689160909374,0.1715725806451613,0.22079938317204173,0.17322551564203292,0.237629445347234,0.23103750633484085,0.2792846321879273
CaD-Ke,kNN,0.607930273538153,0.32716376938965025,0.5403459056050939,0.31970569266586657,0.8902540094499357,0.10261314544741894,0.5185483870967742,0.4998574349591269,0.21814516129032258,0.2507422136067178,0.1699483102050136,0.23515847931717557,0.22808046322951872,0.2757688593646461
CaD-Ke,RF,0.6253257142626358,0.28153672950436315,0.5695606563387501,0.2832720177055739,0.8999718842235904,0.08857487132663264,0.5798387096774194,0.4937837698973018,0.19465725806451614,0.24510787158394393,0.17258073041329036,0.23767466838522167,0.23019317389990532,0.2787420443017257
CaD-Ch,kNN,0.6436989514765914,0.30312451912986277,0.5857622587949579,0.32182795798162456,0.9036443619894136,0.09608020154202425,0.6274193548387097,0.4836868612753155,0.16955645161290323,0.23976339569408747,0.16400608459132537,0.23389165039389262,0.22499683795976072,0.28224771581817776
CaD-Ch,RF,0.6440964971677908,0.2631841087736681,0.5867947670863846,0.26187071199037326,0.9036171790824057,0.08718470941440928,0.6120967741935484,0.4874689190539861,0.17368951612903225,0.23552912194261383,0.16906447450076006,0.23531759600152558,0.23086739037982162,0.2818565915185331
