dataset_id,name,KM,WA,AA,GMd,GMf
6,letter,1.0,2.0,3.0,4.0,5.0
11,balance-scale,1.0,5.0,4.0,2.0,3.0
12,mfeat-factors,2.0,4.0,3.0,5.0,1.0
14,mfeat-fourier,1.0,4.0,2.0,5.0,3.0
15,breast-w,1.0,3.0,2.0,4.0,5.0
16,mfeat-karhunen,1.0,2.0,4.0,5.0,3.0
18,mfeat-morphological,1.0,2.0,4.0,3.0,5.0
22,mfeat-zernike,1.0,3.5,2.0,5.0,3.5
23,cmc,1.0,5.0,3.0,4.0,2.0
28,optdigits,1.0,2.0,4.0,5.0,3.0
29,credit-approval,2.0,3.0,1.0,4.0,5.0
31,credit-g,3.5,3.5,1.0,3.5,3.5
32,pendigits,2.5,1.0,2.5,5.0,4.0
37,diabetes,2.0,3.0,1.0,5.0,4.0
44,spambase,2.0,3.0,1.0,5.0,4.0
54,vehicle,2.0,5.0,1.0,4.0,3.0
151,electricity,3.0,4.0,1.0,2.0,5.0
182,satimage,1.0,4.0,3.0,2.0,5.0
188,eucalyptus,4.0,5.0,1.0,2.5,2.5
300,isolet,1.0,3.0,2.0,5.0,4.0
307,vowel,2.0,1.0,3.0,4.0,5.0
458,analcatdata_authorship,3.0,4.0,1.0,5.0,2.0
554,mnist_784,2.0,4.0,1.0,5.0,3.0
1049,pc4,3.0,2.0,1.0,5.0,4.0
1050,pc3,2.0,3.0,1.0,4.0,5.0
1053,jm1,3.0,2.0,1.0,4.0,5.0
1063,kc2,2.5,2.5,1.0,4.0,5.0
1067,kc1,2.0,3.0,1.0,4.0,5.0
1068,pc1,2.0,3.0,1.0,5.0,4.0
1461,bank-marketing,1.0,3.0,2.0,4.0,5.0
1462,banknote-authentication,2.0,4.0,1.0,3.0,5.0
1464,blood-transfusion-service-center,2.0,3.0,1.0,4.5,4.5
1468,cnae-9,2.0,3.0,1.0,5.0,4.0
1475,first-order-theorem-proving,2.0,3.0,1.0,5.0,4.0
1478,har,3.0,3.0,1.0,5.0,3.0
1480,ilpd,2.0,3.5,1.0,5.0,3.5
1485,madelon,1.5,5.0,1.5,4.0,3.0
1486,nomao,2.0,4.0,1.0,3.0,5.0
1487,ozone-level-8hr,2.0,3.0,1.0,4.0,5.0
1489,phoneme,2.0,3.0,1.0,5.0,4.0
1494,qsar-biodeg,4.0,2.5,1.0,5.0,2.5
1497,wall-robot-navigation,1.0,2.5,2.5,4.0,5.0
1501,semeion,1.5,3.0,4.0,5.0,1.5
1510,wdbc,2.0,4.0,1.0,5.0,3.0
1590,adult,2.0,5.0,1.0,4.0,3.0
4134,Bioresponse,2.5,4.0,1.0,5.0,2.5
4538,GesturePhaseSegmentationProcessed,3.0,2.0,1.0,5.0,4.0
6332,cylinder-bands,2.5,5.0,1.0,4.0,2.5
23517,numerai28.6,1.0,4.0,2.0,3.0,5.0
40499,texture,1.0,3.0,2.0,4.0,5.0
40701,churn,5.0,2.0,1.0,3.5,3.5
40923,Devnagari-Script,1.0,4.0,3.0,5.0,2.0
40927,CIFAR_10,1.0,5.0,2.0,4.0,3.0
40966,MiceProtein,1.0,4.0,2.0,5.0,3.0
40978,Internet-Advertisements,4.0,2.0,1.0,3.0,5.0
40979,mfeat-pixel,2.0,3.0,5.0,4.0,1.0
40982,steel-plates-fault,1.0,4.0,3.0,2.0,5.0
40983,wilt,2.5,4.0,1.0,2.5,5.0
40984,segment,2.0,1.0,3.0,4.0,5.0
40994,climate-model-simulation-crashes,2.0,4.0,1.0,3.0,5.0
40996,Fashion-MNIST,1.0,2.0,4.0,5.0,3.0
41027,jungle_chess_2pcs_raw_endgame_complete,3.0,3.0,3.0,3.0,3.0
